---,StaticMesh,Transform,CollisionClass,CollisionSphereRadius,CollisionBoxExtent,CollisionCapsuleRadius,CollisionCapsuleHalfHeight,MaxSpeed,InitialSpeed,GravityScale,Damage,LifeSpan,NiagaraEffectTableRowHandle,ParticleEffectTableRowHandle
Monster_HinoxStone,/Script/Engine.StaticMesh'/Game/Resources/Monster/Assets/Object/ETC/Rock_Weapon_Big.Rock_Weapon_Big',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=7.000000,Y=7.000000,Z=7.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',100,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,1200,1200,1,1,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_HinoxLink,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',64,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,500,500,0.3,0,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_AL_Attack,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',100,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,1,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_AL_AttackBig,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',100,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,1500,1500,0,1,3,"(DataTable=""/Script/Engine.DataTable'/Game/Data/EffectData/DT_NiagaraEffect.DT_NiagaraEffect'"",RowName=""AL_AttackBig"")","(DataTable=None,RowName="""")"
Monster_AB_KogaStone,/Script/Engine.StaticMesh'/Game/Resources/Monster/Assets/Object/ETC/Rock_Weapon.Rock_Weapon',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=10.000000,Y=10.000000,Z=10.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',32,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,500,500,0,1,15,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_AB_KogaStoneBig,/Script/Engine.StaticMesh'/Game/Resources/Monster/Assets/Object/ETC/Rock_Weapon_Big.Rock_Weapon_Big',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=10.000000,Y=10.000000,Z=10.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',64,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,500,500,0,1,15,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_Attack,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",None,48,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,1,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Player_Arrow,/Script/Engine.StaticMesh'/Game/Resources/Player/Arrow/Weapon_Arrow_020_Mesh.Weapon_Arrow_020_Mesh',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=30.000000,Y=30.000000,Z=30.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',32,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,1500,1500,0.1,3,10,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Player_FireArrow,/Script/Engine.StaticMesh'/Game/Resources/Item/Weapon/Arrow_020/Weapon_Arrow_020.Weapon_Arrow_020',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=30.000000,Y=30.000000,Z=30.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',32,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,1500,1500,0.1,5,10,"(DataTable=""/Script/Engine.DataTable'/Game/Data/EffectData/DT_NiagaraEffect.DT_NiagaraEffect'"",RowName=""Arrow_Effect"")","(DataTable=None,RowName="""")"
Player_Charged_Arrow,/Script/Engine.StaticMesh'/Game/Resources/Player/Arrow/Weapon_Arrow_020_Mesh.Weapon_Arrow_020_Mesh',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=30.000000,Y=30.000000,Z=30.000000))",None,1,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,0,0,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Player_Charged_Arrow_Fire,/Script/Engine.StaticMesh'/Game/Resources/Player/Arrow/Weapon_Arrow_020_Mesh.Weapon_Arrow_020_Mesh',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=30.000000,Y=30.000000,Z=30.000000))",None,1,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,0,0,"(DataTable=""/Script/Engine.DataTable'/Game/Data/EffectData/DT_NiagaraEffect.DT_NiagaraEffect'"",RowName=""Arrow_Effect"")","(DataTable=None,RowName="""")"
